fluency_1to5,relevance_1to5,adequacy_1to5,input,reference,prediction,comments
,,, ⁇ motion: grateful |  ⁇ ituation: i am pleased that i got to meet donald trump . |  ⁇ ustomer: i am pleased that i got to meet donald trump . |  ⁇ gent:,i don't believe you .,i am so happy for you .,
,,," ⁇ motion: confident |  ⁇ ituation: last winters , i went uphill and took a 2 hour skiing classes which really helped to enjoy skiing there after |  ⁇ ustomer: yeah it's an amazing experience altogether . i really enjoy the sport . |  ⁇ gent:",i do like to watch it in the olympics or sure though !,i bet you were able to do that .,
,,, ⁇ motion: surprised |  ⁇ ituation: i was startled when i walked up on a snake a few days ago in my backyard . |  ⁇ ustomer: i got startled by a snake in my yard a few days ago . |  ⁇ gent:,i would be the same way . did the snake attack you ?,oh no ! what was it ?,
,,, ⁇ motion: annoyed |  ⁇ ituation: was irked when i saw my dog had gotten out |  ⁇ ustomer: was irked when i saw my dog had gotten out |  ⁇ gent:,was the dog okay,oh no ! did you get it ?,
,,, ⁇ motion: excited |  ⁇ ituation: i am going to visit my friend in france next month . i cannot wait ! |  ⁇ ustomer: oh wow . . first time going to france ? |  ⁇ gent:,"no . i usually go once or twice a year , but it has been awhile this time , so i am so happy !",i am going to be a lot of fun .,
,,, ⁇ motion: angry |  ⁇ ituation: i had a huge conflict with my parents about moving to another country and i was simply enraged to have them trying to control my life . |  ⁇ ustomer: that's a bummer . what happened once you moved there ? |  ⁇ gent:,it was an awesome experience and after i came back to the us i felt so fulfilled and my perspective on everything has changed .,i was so upset about it . i was so upset about it .,
,,, ⁇ motion: sad |  ⁇ ituation: i have been struggling with a flare up from my lupus after i had such a long period of feeling good . its depressing to be in bed all day and fail your family in what you need to be doing . |  ⁇ ustomer: i am sorry you have that . it must be rough |  ⁇ gent:,"thank you . yes , chronic illness can be really hard . i try to stay positive because i know it makes a different on my health to stay optimistic . but this flare came suddenly and its horrible to be back in bed .","yeah , i have been working on a lot of work .",
,,," ⁇ motion: sentimental |  ⁇ ituation: my uncle was in the hospital . |  ⁇ ustomer: yea he was , i felt so sentimental that week . i could not even concentrate on my job . |  ⁇ gent:",i can understand that,that's great ! i hope you find a good job .,
,,, ⁇ motion: anxious |  ⁇ ituation: uni is starting up soon and im nervous |  ⁇ ustomer: uni is starting up soon and im nervous |  ⁇ gent:,why are you nervous ?,i'm sure you will do well .,
,,, ⁇ motion: apprehensive |  ⁇ ituation: i am weary about ordering chicken now . it made me really sick once |  ⁇ ustomer: i don't order chicken anymore from restaurants |  ⁇ gent:,why not ? i love chicken !,"oh , what kind of restaurant ?",
,,, ⁇ motion: surprised |  ⁇ ituation: i was so surprized on the night of my graduation my parents bought me a new car ! |  ⁇ ustomer: a saturn |  ⁇ gent:,i remember those cars ! how long did it last you ?,what kind of car was it ?,
,,," ⁇ motion: afraid |  ⁇ ituation: my husband went out of town for a few days for work . every sound i hear makes my hair stand up on end , i may not survive this trip . |  ⁇ ustomer: my husband went out of town for a few days . every sound i hear makes my hair stand up on end ! |  ⁇ gent:",oh no . how long will he be away for ?,oh no ! i'm sorry to hear that .,
,,, ⁇ motion: faithful |  ⁇ ituation: i love my wife so much . i would never cheat on her . |  ⁇ ustomer: that's nice to hear ! have you treated her to something special ? |  ⁇ gent:,i always do . i would never cheat on her .,i am not sure . i am so happy for her .,
,,, ⁇ motion: ashamed |  ⁇ ituation: when my mom started yelling at someone in the store for no reason . |  ⁇ ustomer: that must be very challenging to deal with at times . |  ⁇ gent:,"it is very challenging to deal with , along with being very embarrassing . sometimes i am ashamed of her .","yeah , i can't even know how to do that .",
,,, ⁇ motion: nostalgic |  ⁇ ituation: i found my nintendo in the closet a few months . i remembered all the games i used ot play on it . |  ⁇ ustomer: i found my nintendo entertainment system in my closet a few months ago |  ⁇ gent:,was it a nice surprise ?,that's awesome ! i'm sure you'll do that !,
,,, ⁇ motion: sentimental |  ⁇ ituation: i found an old stuffed animal in my closet . it made me yearn for earlier times . |  ⁇ ustomer: yeah . a fluffy one . i made me think back to when i had a pet koala . |  ⁇ gent:,i bet that was pretty awesome . how'd you grow your eucalyptus ?,that's good . i'm sure you'll find a good one .,
,,, ⁇ motion: jealous |  ⁇ ituation: my dad got my brother a watch but not me . |  ⁇ ustomer: did you want a watch ? |  ⁇ gent:,"yes , and i feel kind of envious of my brother now .","i did , he was a good one .",
,,," ⁇ motion: anxious |  ⁇ ituation: i am so worried about my math test coming up . i am afraid i will flunk it . i need to study more . |  ⁇ ustomer: don't think that well ! as long as you are prepared , you will do great ! |  ⁇ gent:",yeah i think i need to study some more . i hate trigonometry so much .,i am so nervous about it . i am so nervous about it .,
,,, ⁇ motion: hopeful |  ⁇ ituation: i got an interview for a nannying job . it is full-time for two twin babies . |  ⁇ ustomer: i just got a job interview ! |  ⁇ gent:,you must be so happy ? what was the job you got a interview for ?,that's great ! i hope you get it !,
,,, ⁇ motion: disappointed |  ⁇ ituation: my friend recommended me a restaurant . i went with my wife to try it . the food was terrible . |  ⁇ ustomer: my friend recommended me a restaurant . i went with my wife to try it . the food was terrible . |  ⁇ gent:,maybe you should go by yourself . normally wifes stay at home and clean .,oh no ! that's so sad .,
,,, ⁇ motion: nostalgic |  ⁇ ituation: i have a notebook of all my daughters scribbles and drawings |  ⁇ ustomer: i am . she is left handed so i think she will be very artistic |  ⁇ gent:,maybe she will eventually want to study art .,i'm sorry to hear that . i'm sure she will be a good time .,
,,, ⁇ motion: grateful |  ⁇ ituation: my father paid for my university tuition . he allows me to save lots of money . |  ⁇ ustomer: he' |  ⁇ gent:,i wish everyone was that lucky .,he is a great job .,
,,, ⁇ motion: disgusted |  ⁇ ituation: that the neighbor lets her cats use the bathroom outside my window |  ⁇ ustomer: i have but she doesnt seem to mind at all . it just smells gross . |  ⁇ gent:,that's really inconsiderate of her .,i'm sorry to hear that .,
